Unnamed: 0,DienTich(m²),Phongngu,SoTang,PhongTam,Loai,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,Gia(Triệu),Duong,Phuong,Quan,ThanhPho,Gia_m²(Triệu)
107,79.0,2,0.0,2, Chung cư,Không có nội thất,,,1800.0,196,4,8,Tp Hồ Chí Minh,22.78
108,72.0,2,9.0,2, Chung cư, Hoàn thiện cơ bản,,,3250.0,đường Tạ Quang Bửu,5,8,Tp Hồ Chí Minh,45.14
109,80.0,2,0.0,2, Chung cư, Nội thất cao cấp, Tây, Đông,4500.0,208,22,Bình Thạnh,Tp Hồ Chí Minh,56.25
110,38.0,1,0.0,1, Chung cư,Không có nội thất,,,1700.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,44.74
111,46.0,2,26.0,2, Chung cư, Nội thất cao cấp, Đông, Tây,442.0,Đường Lê Văn Lương,,,Tp Hồ Chí Minh,9.61
112,48.5,1,0.0,1, Chung cư,Không có nội thất,,,2150.0,KĐT City Horse Đường Mai Chí Thọ,An Phú,2,Tp Hồ Chí Minh,44.33
113,86.0,3,0.0,2, Chung cư,Không có nội thất,,,4300.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,50.0
114,52.0,1,0.0,1, Chung cư,Không có nội thất,,,1655.0,996,6,8,Tp Hồ Chí Minh,31.83
115,106.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản,,,3900.0,Đường Nguyễn Hữu Thọ,Tân Hưng,7,Tp Hồ Chí Minh,36.79
116,40.0,1,0.0,1, Chung cư, Nội thất đầy đủ,,,800.0,Đường Lê Văn Quới||6484,Bình Trị Đông,Bình Tân,Tp Hồ Chí Minh,20.0
117,99.0,3,30.0,3, Duplex, Nội thất đầy đủ,,,3000.0,Đường Nguyễn Hữu Thọ,,,Tp Hồ Chí Minh,30.3
118,74.0,2,0.0,2, Chung cư,Không có nội thất,,,6300.0,đường Tôn Đức Thắng,Bến Nghé,1,Tp Hồ Chí Minh,85.14
119,88.0,2,0.0,2, Chung cư, Nội thất đầy đủ, Đông Bắc, Tây Bắc,2398.0,Đường Cây Keo,Tam Phú,Thủ Đức,Tp Hồ Chí Minh,27.25
120,69.0,2,0.0,2, Chung cư, Nội thất đầy đủ,,,3880.0,119,9,Phú Nhuận,Tp Hồ Chí Minh,56.23
121,59.0,2,0.0,1, Chung cư,Không có nội thất, Đông Nam, Tây Bắc,2250.0,Đường Nguyễn Xiển,Long Thạnh Mỹ,9,Tp Hồ Chí Minh,38.14
122,80.0,2,0.0,2, Chung cư, Nội thất đầy đủ,,,1650.0,346,1,4,Tp Hồ Chí Minh,20.62
123,58.0,2,18.0,2, Chung cư, Nội thất đầy đủ,, Đông Nam,1300.0,Số 8,Hiệp Bình Phước,Thủ Đức,Tp Hồ Chí Minh,22.41
124,64.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản, Nam, Bắc,1720.0,Đường Hồ Học Lãm,An Lạc,Bình Tân,Tp Hồ Chí Minh,26.88
125,53.0,2,0.0,1, Chung cư,Không có nội thất,,,1500.0,Đường Liên Phường,Phú Hữu,9,Tp Hồ Chí Minh,28.3
126,62.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản, Đông Nam, Đông,1800.0,Đường Liên Phường,Phú Hữu,9,Tp Hồ Chí Minh,29.03
127,73.0,3,0.0,2, Chung cư,Không có nội thất,,,1950.0,196,4,8,Tp Hồ Chí Minh,26.71
128,25.0,1,0.0,1, Chung cư,Không có nội thất,,,870.0,996,6,8,Tp Hồ Chí Minh,34.8
129,91.0,2,0.0,2, Chung cư,Không có nội thất,,,1300.0,Đường Huỳnh Tấn Phát,,,Tp Hồ Chí Minh,14.29
130,52.0,1,0.0,1, Chung cư,Không có nội thất,,,2050.0,Số 207,26,Bình Thạnh,Tp Hồ Chí Minh,39.42
131,62.0,2,22.0,2, Chung cư, Nội thất cao cấp, Đông Nam, Tây Bắc,1900.0,Đường Lê Văn Lương,,,Tp Hồ Chí Minh,30.65
132,56.0,2,0.0,1, Chung cư,Không có nội thất,,,2080.0,Đường Võ Văn Kiệt,An Lạc,Bình Tân,Tp Hồ Chí Minh,37.14
133,100.0,3,0.0,2, Chung cư, Nội thất đầy đủ,,,6.0,208,22,Bình Thạnh,Tp Hồ Chí Minh,0.06
134,71.42,2,0.0,2, Chung cư,Không có nội thất,,,3420.0,Đường Nguyễn Hữu Thọ,,,Tp Hồ Chí Minh,47.89
135,52.0,2,0.0,1, Chung cư,Không có nội thất,,,2950.0,Đường Nguyễn Văn Linh,Tân Thuận Tây,7,Tp Hồ Chí Minh,56.73
136,75.0,2,16.0,2, Chung cư,Không có nội thất, Bắc,,2500.0,Đường Nguyễn Văn Linh,,,Tp Hồ Chí Minh,33.33
137,70.0,2,6.0,2, Chung cư, Nội thất cao cấp, Đông Bắc, Tây Nam,2390.0,1,Linh Tây,Thủ Đức,Tp Hồ Chí Minh,34.14
138,71.0,2,0.0,2, Chung cư,Không có nội thất,,,2200.0,196,4,8,Tp Hồ Chí Minh,30.99
139,62.0,2,0.0,2, Chung cư,Không có nội thất,,,2000.0,Đường Nguyễn Văn Quỳ,Phú Thuận,7,Tp Hồ Chí Minh,32.26
140,111.0,3,21.0,2, Chung cư, Hoàn thiện cơ bản,,,5990.0,Đường Lê Đại Hành,15,11,Tp Hồ Chí Minh,53.96
141,65.0,2,9.0,2, Chung cư, Nội thất cao cấp, Đông Nam,,1800.0,Đường Nguyễn Hữu Thọ,Phú Mỹ,7,Tp Hồ Chí Minh,27.69
142,51.0,2,16.0,2, Chung cư, Nội thất đầy đủ,,,1780.0,Phan Văn Hớn,Tân Thới Nhất,12,Tp Hồ Chí Minh,34.9
143,59.0,2,0.0,1, Chung cư,Không có nội thất,,,720.0,Đường Tân Túc,,,Tp Hồ Chí Minh,12.2
144,120.0,3,0.0,2, Duplex, Nội thất cao cấp, Bắc, Nam,3200.0,Đường Phạm Văn Nghị,Tân Phong,7,Tp Hồ Chí Minh,26.67
145,124.6,3,0.0,2, Chung cư,Không có nội thất, Tây Bắc, Đông Nam,6900.0,Đường Xa Lộ Hà Nội,An Phú,2,Tp Hồ Chí Minh,55.38
146,69.0,2,23.0,2, Chung cư, Nội thất cao cấp, Đông Nam, Tây Bắc,630.0,765,6,6,Tp Hồ Chí Minh,9.13
147,56.0,2,0.0,2, Chung cư, Nội thất cao cấp,,,1680.0,Đường Nguyễn Hữu Cảnh,22,Bình Thạnh,Tp Hồ Chí Minh,30.0
148,69.0,2,9.0,2, Chung cư,Không có nội thất, Bắc, Nam,1600.0,đường Tân Chánh Hiệp 21,Tân Chánh Hiệp,12,Tp Hồ Chí Minh,23.19
149,70.0,1,7.0,1, Chung cư, Nội thất cao cấp, Đông Nam, Tây Bắc,4000.0,108,2,Tân Bình,Tp Hồ Chí Minh,57.14
150,70.12,2,0.0,2, Chung cư, Nội thất cao cấp, Nam, Bắc,2850.0,Đường Phạm Văn Nghị,Tân Phong,7,Tp Hồ Chí Minh,40.64
151,63.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản,,,1600.0,Lô 5,Bình Hưng Hoà B,Bình Tân,Tp Hồ Chí Minh,25.4
152,65.0,2,0.0,1, Chung cư,Không có nội thất,, Đông,1800.0,Đường Nguyễn Văn Linh,6,8,Tp Hồ Chí Minh,27.69
153,75.0,2,5.0,2, Chung cư,Không có nội thất, Đông Nam, Đông Nam,2580.0,Đường Võ Văn Kiệt,An Lạc,Bình Tân,Tp Hồ Chí Minh,34.4
154,54.0,1,0.0,1, Chung cư, Nội thất cao cấp,,,70.0,Đường Võ Văn Ngân,Bình Thọ,Thủ Đức,Tp Hồ Chí Minh,1.3
155,60.0,1,0.0,1, Chung cư, Nội thất cao cấp,,,2900.0,Đường Nguyễn Hữu Thọ,Tân Hưng,7,Tp Hồ Chí Minh,48.33
156,106.0,3,0.0,2, Chung cư,Không có nội thất,,,3820.0,Đường 19,An Phú,2,Tp Hồ Chí Minh,36.04
157,88.0,2,0.0,2, Chung cư, Nội thất cao cấp,,,5900.0,10,An Lợi Đông,2,Tp Hồ Chí Minh,67.05
158,46.0,2,0.0,1, Chung cư,Không có nội thất,,,35.0,đường Lê Văn Lương,,,Tp Hồ Chí Minh,0.76
159,67.0,2,0.0,2, Chung cư,Không có nội thất,,,1570.0,Đường 15B,Phú Mỹ,7,Tp Hồ Chí Minh,23.43
160,68.0,2,8.0,2, Chung cư, Hoàn thiện cơ bản, Đông Nam, Tây Bắc,435.0,Đường Bến Bình Đông,14,8,Tp Hồ Chí Minh,6.4
161,101.0,3,0.0,2, Chung cư, Hoàn thiện cơ bản, Đông Nam, Tây Bắc,5300.0,Đường Nguyễn Thị Định,An Phú,2,Tp Hồ Chí Minh,52.48
162,48.0,2,0.0,2, Chung cư, Hoàn thiện cơ bản,,,1680.0,Đường Nguyễn Lương Bằng,Phú Mỹ,7,Tp Hồ Chí Minh,35.0
163,81.0,4,0.0,3, Officetel,Không có nội thất, Đông Bắc, Đông Bắc,20.0,11/2,Thạnh Lộc,12,Tp Hồ Chí Minh,0.25
164,68.0,2,12.0,2, Chung cư, Nội thất đầy đủ, Nam, Bắc,3180.0,Lô A1,Tân Hưng,7,Tp Hồ Chí Minh,46.76
165,81.0,3,0.0,2, Chung cư,Không có nội thất,,,2750.0,Đường Nguyễn Xiển,Long Thạnh Mỹ,9,Tp Hồ Chí Minh,33.95
166,124.0,3,15.0,2, Chung cư, Nội thất đầy đủ,,,1450.0,Đường Nguyễn Hữu Cảnh,22,Bình Thạnh,Tp Hồ Chí Minh,11.69
167,65.0,2,26.0,2, Chung cư, Nội thất cao cấp, Tây Bắc, Đông Nam,2200.0,Đường Phạm Hữu Lầu,Phú Mỹ,7,Tp Hồ Chí Minh,33.85
168,80.0,1,0.0,0, Penthouse,Không có nội thất,,,245.0,Đường Lê Văn Sỹ,14,Phú Nhuận,Tp Hồ Chí Minh,3.06
